Ano base	Cod PPG	Nome PPG	Área Básica	IES Principal Sigla	IES Principal Nome	IES da Rede Sigla	Status Jurídico	UF	Região	PPG Ano Início	Modalidade	Mudança de modalidade no quadriênio?	Nota/ conceito	Nível	Ano Início Nível	Sofreu migração no quadriênio?	Total	Permanentes	Colaboradores	Visitantes	Total Distinto	"Mestrado
(ME)"	"Doutorado
(DO)"	"Total Geral
(ME+DO)"	Matrícula Anterior ao Ano Base	Ingressante 	Titulado	Abandono	Desligado	Mud. Nível sem Defesa	Matriculado	Matrícula Anterior ao Ano Base	Ingressante 	Titulado	Abandono	Desligado	Matriculado	Desligado/Matriculado	Abandono/Matriculado	Titulado/Matriculado	Matriculado/DP	Titulado/DP	Desligado/Matriculado	Abandono/Matriculado	Titulado/Matriculado	Matriculado/DP	Titulado/DP	Matriculado/DP	Titulado/DP	Matriculado/Total Docentes	Titulado/Total Docentes	ID_ADD_FOTO_PROGRAMA_IES_PRINC	ID_ADD_FOTO_PROGRAMA	Tipo de Clientela
2019	11001011072P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFAC	UNIVERSIDADE FEDERAL DO ACRE		FEDERAL	AC	NORTE	2018	ACADÊMICO	NÃO	A	MESTRADO	2018	NÃO	13	13	0	0	15	15	0	15	0	15	0	1	1	0	13	0	0	0	0	0	0	0.08	0.08	0	1	0				0	0	1	0	1	0	173411	106959	AVALIAÇÃO
2020	11001011072P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFAC	UNIVERSIDADE FEDERAL DO ACRE		FEDERAL	AC	NORTE	2018	ACADÊMICO	NÃO	A	MESTRADO	2018	NÃO	13	13	0	0	29	29	0	29	13	16	0	0	0	0	29	0	0	0	0	0	0	0	0	0	2.23	0				0	0	2.23	0	2.23	0	197114	129568	AVALIAÇÃO
2017	12001015012P2	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAM	UNIVERSIDADE FEDERAL DO AMAZONAS		FEDERAL	AM	NORTE	2001	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	2001/2008	NÃO	24	24	0	0	198	111	92	203	79	32	25	4	4	0	78	79	13	12	0	1	79	0.05	0.05	0.32	3.25	1.04	0.01	0	0.15	3.29	0.5	6.54	1.54	6.54	1.54	172714	106397	AVALIAÇÃO
2018	12001015012P2	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAM	UNIVERSIDADE FEDERAL DO AMAZONAS		FEDERAL	AM	NORTE	2001	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	2001/2008	NÃO	26	25	1	0	204	114	96	210	78	36	26	2	9	0	77	79	17	8	0	1	87	0.12	0.03	0.34	3.08	1.04	0.01	0	0.09	3.48	0.32	6.56	1.36	6.31	1.31	172741	106414	AVALIAÇÃO
2019	12001015012P2	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAM	UNIVERSIDADE FEDERAL DO AMAZONAS		FEDERAL	AM	NORTE	2001	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	2001/2008	NÃO	28	26	2	0	203	107	105	212	77	30	27	3	6	0	71	87	18	12	2	12	79	0.08	0.04	0.38	2.73	1.04	0.15	0.03	0.15	3.04	0.46	5.77	1.5	5.36	1.39	172742	106415	AVALIAÇÃO
2020	12001015012P2	INFORMÁTICA	CIÊNCIA DA COMPUTAÇÃO	UFAM	UNIVERSIDADE FEDERAL DO AMAZONAS		FEDERAL	AM	NORTE	2001	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	2001/2008	NÃO	28	23	5	0	189	102	90	192	68	34	13	8	1	0	80	76	14	12	5	3	70	0.01	0.1	0.16	3.48	0.57	0.04	0.07	0.17	3.04	0.52	6.52	1.09	5.36	0.89	199536	131738	AVALIAÇÃO
2017	15001016047P9	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2005	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2005/2015	NÃO	20	18	2	0	103	83	22	105	51	32	14	2	6	0	61	17	5	1	0	0	21	0.1	0.03	0.23	3.39	0.78	0	0	0.05	1.17	0.06	4.56	0.83	4.1	0.75	169316	103166	AVALIAÇÃO
2018	15001016047P9	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2005	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2005/2015	NÃO	23	20	3	0	116	91	29	120	61	30	26	2	10	0	53	21	8	0	0	1	28	0.19	0.04	0.49	2.65	1.3	0.04	0	0	1.4	0	4.05	1.3	3.52	1.13	169341	103185	AVALIAÇÃO
2019	15001016047P9	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2005	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2005/2015	NÃO	23	20	3	0	119	86	37	123	53	33	19	3	5	0	59	28	9	5	0	0	32	0.08	0.05	0.32	2.95	0.95	0	0	0.16	1.6	0.25	4.55	1.2	3.96	1.04	169388	103205	AVALIAÇÃO
2020	15001016047P9	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2005	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	2005/2015	NÃO	22	20	2	0	131	89	44	133	59	30	14	0	10	0	65	32	12	7	0	1	36	0.15	0	0.22	3.25	0.7	0.03	0	0.19	1.8	0.35	5.05	1.05	4.59	0.95	201113	133092	AVALIAÇÃO
2017	15001016092P4	COMPUTAÇÃO APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2016	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2016	NÃO	10	9	1	0	34	34	0	34	16	18	0	0	0	0	34	0	0	0	0	0	0	0	0	0	3.78	0				0	0	3.78	0	3.4	0	132781	69224	AVALIAÇÃO
2018	15001016092P4	COMPUTAÇÃO APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2016	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2016	NÃO	13	11	2	0	53	53	0	53	34	19	3	0	1	0	49	0	0	0	0	0	0	0.02	0	0.06	4.45	0.27				0	0	4.45	0.27	3.77	0.23	141292	76575	AVALIAÇÃO
2019	15001016092P4	COMPUTAÇÃO APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2016	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2016	NÃO	13	12	1	0	63	63	0	63	50	13	12	0	4	0	47	0	0	0	0	0	0	0.09	0	0.26	3.92	1				0	0	3.92	1	3.62	0.92	158718	93696	AVALIAÇÃO
2020	15001016092P4	COMPUTAÇÃO APLICADA	CIÊNCIA DA COMPUTAÇÃO	UFPA	UNIVERSIDADE FEDERAL DO PARÁ		FEDERAL	PA	NORTE	2016	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2016	NÃO	15	12	3	0	60	60	0	60	43	17	7	0	17	0	36	0	0	0	0	0	0	0.47	0	0.19	3	0.58				0	0	3	0.58	2.4	0.47	202084	133766	AVALIAÇÃO
2017	20001010022P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFMA	UNIVERSIDADE FEDERAL DO MARANHÃO		FEDERAL	MA	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	15	12	3	0	58	58	0	58	36	22	12	0	3	0	43	0	0	0	0	0	0	0.07	0	0.28	3.58	1				0	0	3.58	1	2.87	0.8	129036	65896	AVALIAÇÃO
2018	20001010022P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFMA	UNIVERSIDADE FEDERAL DO MARANHÃO		FEDERAL	MA	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	17	13	4	0	65	65	0	65	42	23	17	3	9	0	36	0	0	0	0	0	0	0.25	0.08	0.47	2.77	1.31				0	0	2.77	1.31	2.12	1	139463	75174	AVALIAÇÃO
2019	20001010022P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFMA	UNIVERSIDADE FEDERAL DO MARANHÃO		FEDERAL	MA	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	17	13	4	0	54	54	0	54	36	18	15	1	4	0	34	0	0	0	0	0	0	0.12	0.03	0.44	2.62	1.15				0	0	2.62	1.15	2	0.88	155146	90008	AVALIAÇÃO
2020	20001010022P0	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFMA	UNIVERSIDADE FEDERAL DO MARANHÃO		FEDERAL	MA	NORDESTE	2011	ACADÊMICO	NÃO	3	MESTRADO	2011	NÃO	17	15	2	0	47	47	0	47	34	13	15	1	0	0	31	0	0	0	0	0	0	0	0.03	0.48	2.07	1				0	0	2.07	1	1.82	0.88	202779	134383	AVALIAÇÃO
2019	20001010049P6	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFMA	UNIVERSIDADE FEDERAL DO MARANHÃO	FUFPI	FEDERAL	MA	NORDESTE	2019	ACADÊMICO	NÃO	A	DOUTORADO	2019	NÃO	17	15	2	0	10	0	10	10	0	0	0	0	0	0	0	0	10	0	0	0	10				0	0	0	0	0	0.67	0	0.67	0	0.59	0	172668	106343	AVALIAÇÃO
2020	20001010049P6	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFMA	UNIVERSIDADE FEDERAL DO MARANHÃO	FUFPI	FEDERAL	MA	NORDESTE	2019	ACADÊMICO	NÃO	A	DOUTORADO	2019	NÃO	22	22	0	0	28	0	28	28	0	0	0	0	0	0	0	10	18	0	0	0	28				0	0	0	0	0	1.27	0	1.27	0	1.27	0	197465	129861	AVALIAÇÃO
2017	20002017004P9	ENGENHARIA DE COMPUTAÇÃO E SISTEMAS	CIÊNCIA DA COMPUTAÇÃO	UEMA	UNIVERSIDADE ESTADUAL DO MARANHÃO		ESTADUAL	MA	NORDESTE	2011	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2011	NÃO	21	12	9	0	79	79	0	79	47	32	20	3	5	0	51	0	0	0	0	0	0	0.1	0.06	0.39	4.25	1.67				0	0	4.25	1.67	2.43	0.95	164327	98203	AVALIAÇÃO
2018	20002017004P9	ENGENHARIA DE COMPUTAÇÃO E SISTEMAS	CIÊNCIA DA COMPUTAÇÃO	UEMA	UNIVERSIDADE ESTADUAL DO MARANHÃO		ESTADUAL	MA	NORDESTE	2011	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2011	NÃO	20	14	6	0	72	72	0	72	50	22	8	0	5	0	59	0	0	0	0	0	0	0.08	0	0.14	4.21	0.57				0	0	4.21	0.57	2.95	0.4	167071	101037	AVALIAÇÃO
2019	20002017004P9	ENGENHARIA DE COMPUTAÇÃO E SISTEMAS	CIÊNCIA DA COMPUTAÇÃO	UEMA	UNIVERSIDADE ESTADUAL DO MARANHÃO		ESTADUAL	MA	NORDESTE	2011	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2011	NÃO	16	13	3	0	80	80	0	80	59	21	34	0	9	0	37	0	0	0	0	0	0	0.24	0	0.92	2.85	2.62				0	0	2.85	2.62	2.31	2.13	168019	101954	AVALIAÇÃO
2020	20002017004P9	ENGENHARIA DE COMPUTAÇÃO E SISTEMAS	CIÊNCIA DA COMPUTAÇÃO	UEMA	UNIVERSIDADE ESTADUAL DO MARANHÃO		ESTADUAL	MA	NORDESTE	2011	PROFISSIONAL	NÃO	3	MESTRADO PROFISSIONAL	2011	NÃO	15	12	3	0	62	62	0	62	37	25	10	0	16	0	36	0	0	0	0	0	0	0.44	0	0.28	3	0.83				0	0	3	0.83	2.4	0.67	203049	134608	AVALIAÇÃO
2017	21001014031P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFPI	FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ		FEDERAL	PI	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	14	13	1	0	53	53	0	53	35	18	13	1	2	0	37	0	0	0	0	0	0	0.05	0.03	0.35	2.85	1				0	0	2.85	1	2.64	0.93	130404	67200	AVALIAÇÃO
2018	21001014031P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFPI	FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ		FEDERAL	PI	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	15	14	1	0	61	61	0	61	37	24	19	0	4	0	38	0	0	0	0	0	0	0.11	0	0.5	2.71	1.36				0	0	2.71	1.36	2.53	1.27	136236	72261	AVALIAÇÃO
2019	21001014031P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFPI	FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ		FEDERAL	PI	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	15	14	1	0	53	53	0	53	37	16	15	1	1	0	36	0	0	0	0	0	0	0.03	0.03	0.42	2.57	1.07				0	0	2.57	1.07	2.4	1	156726	92109	AVALIAÇÃO
2020	21001014031P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	FUFPI	FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ		FEDERAL	PI	NORDESTE	2012	ACADÊMICO	NÃO	3	MESTRADO	2012	NÃO	17	17	0	0	55	55	0	55	33	22	16	2	0	0	37	0	0	0	0	0	0	0	0.05	0.43	2.18	0.94				0	0	2.18	0.94	2.18	0.94	205043	136296	AVALIAÇÃO
2017	22001018031P5	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFC	UNIVERSIDADE FEDERAL DO CEARÁ		FEDERAL	CE	NORDESTE	1995	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1995/2005	NÃO	30	27	2	1	189	94	100	194	57	37	25	0	2	0	67	82	18	9	0	7	84	0.03	0	0.37	2.48	0.93	0.08	0	0.11	3.11	0.33	5.59	1.26	5.03	1.13	170359	104163	AVALIAÇÃO
2018	22001018031P5	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFC	UNIVERSIDADE FEDERAL DO CEARÁ		FEDERAL	CE	NORDESTE	1995	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1995/2005	NÃO	30	26	3	1	211	108	105	213	67	41	24	0	10	0	74	84	21	10	0	6	89	0.14	0	0.32	2.85	0.92	0.07	0	0.11	3.42	0.38	6.27	1.31	5.43	1.13	170391	104175	AVALIAÇÃO
2019	22001018031P5	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFC	UNIVERSIDADE FEDERAL DO CEARÁ		FEDERAL	CE	NORDESTE	1995	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1995/2005	NÃO	31	27	4	0	219	110	115	225	74	36	29	0	16	0	65	88	27	14	0	7	94	0.25	0	0.45	2.41	1.07	0.07	0	0.15	3.48	0.52	5.89	1.59	5.13	1.39	170514	104277	AVALIAÇÃO
2020	22001018031P5	CIÊNCIAS DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFC	UNIVERSIDADE FEDERAL DO CEARÁ		FEDERAL	CE	NORDESTE	1995	ACADÊMICO	NÃO	5	MESTRADO/DOUTORADO	1995/2005	NÃO	34	29	4	1	226	106	128	234	65	41	15	0	8	0	83	94	34	3	0	6	119	0.1	0	0.18	2.86	0.52	0.05	0	0.03	4.1	0.1	6.97	0.62	5.94	0.53	197935	130367	AVALIAÇÃO
2019	22001018173P4	COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFC	UNIVERSIDADE FEDERAL DO CEARÁ		FEDERAL	CE	NORDESTE	2019	ACADÊMICO	NÃO	A	MESTRADO	2019	NÃO	17	17	0	0	17	17	0	17	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0				0	0	1	0	1	0	157108	92415	AVALIAÇÃO
2020	22001018173P4	COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UFC	UNIVERSIDADE FEDERAL DO CEARÁ		FEDERAL	CE	NORDESTE	2019	ACADÊMICO	NÃO	A	MESTRADO	2019	NÃO	18	18	0	0	37	37	0	37	17	20	2	0	1	0	34	0	0	0	0	0	0	0.03	0	0.06	1.89	0.11				0	0	1.89	0.11	1.89	0.11	199252	131488	AVALIAÇÃO
2017	22002014002P1	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UNIFOR	UNIVERSIDADE DE FORTALEZA		PARTICULAR	CE	NORDESTE	1999	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1999/2011	NÃO	17	16	1	0	147	106	43	149	81	25	15	0	19	0	72	26	17	7	0	5	31	0.26	0	0.21	4.5	0.94	0.16	0	0.23	1.94	0.44	6.44	1.38	6.06	1.29	170155	103934	AVALIAÇÃO
2018	22002014002P1	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UNIFOR	UNIVERSIDADE DE FORTALEZA		PARTICULAR	CE	NORDESTE	1999	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1999/2011	NÃO	16	16	0	0	129	90	41	131	72	18	25	0	16	0	49	31	10	10	0	2	29	0.33	0	0.51	3.06	1.56	0.07	0	0.34	1.81	0.63	4.88	2.19	4.88	2.19	170161	103940	AVALIAÇÃO
2019	22002014002P1	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UNIFOR	UNIVERSIDADE DE FORTALEZA		PARTICULAR	CE	NORDESTE	1999	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1999/2011	NÃO	16	16	0	0	95	62	36	98	49	13	19	0	10	0	33	29	7	4	0	1	31	0.3	0	0.58	2.06	1.19	0.03	0	0.13	1.94	0.25	4	1.44	4	1.44	170163	103942	AVALIAÇÃO
