Código,Nome,Nível,Nota,Sigla,Modalidade,Região,Num Anos,Média Docentes,Por docente quadriênio,Por ano,Total,Por docente quadrienal,Por ano,Total,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,A1,A2,A3,A4,B1,B2,B3,B4,C,A1,A2,A3,A4,B1,B2,B3,B4,C,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,iRestrito,Igeral,A1,A2,A3,A4,B1,B2,B3,B4,C,A1,A2,A3,A4,B1,B2,B3,B4,C
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,ME/DO,7,USP/SC,ACADEMICO,SE,4,62.75,3.1,48.3,193,2.4,37.8,151,8.67,9.02,2176.38,2263.58,1384.13,1406.33,792.25,857.25,270,118,40,59,31,28,5,12,20,83,55,139,187,103,30,47,56,161,6.32,6.61,1585.88,1659.13,896.50,911.50,689.38,747.63,172,76,30,44,20,21,3,10,14,64,49,124,156,93,29,36,47,136
25001019004P6,CIÊNCIAS DA COMPUTAÇÃO,ME/DO,7,UFPE,ACADEMICO,NE,4,74,2.5,45.5,182,3.6,66.8,267,6.35,6.48,1880.63,1918.83,820.25,835.50,1060.38,1083.33,158,68,40,46,18,21,18,5,35,101,89,101,150,31,12,22,57,80,4.87,4.97,1440.38,1470.83,569.50,583.20,870.88,887.63,119,46,28,34,16,20,16,2,33,86,73,81,122,22,8,19,45,51
42001013004P4,COMPUTAÇÃO,ME/DO,7,UFRGS,ACADEMICO,S,4,54.25,1.6,21.3,85,3.0,40.3,161,8.43,8.58,1829.63,1861.43,1064.50,1071.75,765.13,789.68,140,98,43,36,10,7,8,1,9,103,57,125,100,37,11,23,31,52,6.51,6.62,1412.50,1435.85,771.50,775.85,641.00,660.00,106,71,28,23,6,4,5,1,7,89,47,104,91,28,11,15,26,34
31001017004P3,ENGENHARIA DE SISTEMAS E COMPUTAÇÃO,ME/DO,7,UFRJ/COPPE,ACADEMICO,SE,4,35,2.3,20.0,80,3.3,28.5,114,7.17,7.37,1004.13,1031.63,817.50,826.90,186.63,204.73,83,78,38,22,13,13,3,0,16,8,13,36,58,20,21,23,32,47,4.39,4.54,614.25,635.15,478.00,485.00,136.25,150.15,48,46,14,18,11,6,3,0,8,5,9,31,45,15,18,15,26,22
31003010046P4,COMPUTAÇÃO,ME/DO,6,UFF,ACADEMICO,SE,4,40,1.7,16.8,67,3.2,31.8,127,7.45,7.63,1192.38,1221.13,804.38,813.73,388.00,407.40,65,79,31,24,15,9,0,1,10,26,25,76,133,19,14,24,94,69,4.68,4.80,748.63,768.03,469.13,474.68,279.50,293.35,44,45,21,16,9,5,0,1,2,16,18,55,100,13,10,20,67,45
33003017005P8,CIÊNCIA DA COMPUTAÇÃO,ME/DO,7,UNICAMP,ACADEMICO,SE,4,44.75,1.4,16.0,64,3.7,41.5,166,10.30,10.55,1844.00,1888.25,1104.00,1118.35,740.00,769.90,183,98,50,22,23,10,7,3,13,82,56,113,122,42,23,21,44,75,7.69,7.85,1377.13,1405.98,806.88,813.28,570.25,592.70,124,73,35,14,10,5,4,0,9,74,41,94,99,32,16,16,33,53
42005019016P8,CIÊNCIA DA COMPUTAÇÃO,ME/DO,6,PUC/RS,ACADEMICO,S,4,23,2.6,15.0,60,4.4,25.5,102,10.48,10.79,964.25,992.25,413.00,420.10,551.25,572.15,38,38,27,28,10,8,4,2,1,67,38,91,126,29,14,21,30,57,7.51,7.77,690.88,714.68,237.50,243.00,453.38,471.68,24,21,22,17,7,8,3,2,1,58,31,77,100,25,12,21,26,48
31005012004P9,INFORMÁTICA,ME/DO,7,PUC-RIO,ACADEMICO,SE,4,23.25,2.6,15.0,60,5.0,29.0,116,10.48,10.74,974.75,998.40,607.25,616.45,367.50,381.95,80,55,23,35,13,12,2,2,6,26,25,92,81,22,7,11,19,61,6.24,6.42,580.25,596.80,303.25,308.00,277.00,288.80,32,29,11,9,7,5,2,1,3,18,18,74,70,18,5,10,16,49
32001010004P6,CIÊNCIAS DA COMPUTAÇÃO,ME/DO,7,UFMG,ACADEMICO,SE,4,53.75,1.1,14.5,58,4.2,56.5,226,11.09,11.29,2384.88,2427.43,1216.88,1229.93,1168.00,1197.50,177,111,43,36,21,10,4,3,10,135,93,96,217,44,11,23,60,76,8.14,8.28,1749.50,1780.30,768.63,776.73,980.88,1003.58,108,71,19,26,15,2,1,2,8,112,78,83,183,34,9,14,50,55
33002010176P0,CIÊNCIA DA COMPUTAÇÃO,ME/DO,6,USP/SP,ACADEMICO,SE,4,31.75,1.8,14.3,57,2.9,23.3,93,7.97,8.14,1011.75,1033.80,848.75,854.95,163.00,178.85,102,79,45,19,8,7,7,2,6,27,9,49,31,17,17,21,37,58,3.29,3.39,417.88,430.33,305.38,306.33,112.50,124.00,39,28,18,7,0,3,3,1,2,17,6,38,22,15,9,13,18,36
40001016034P5,INFORMÁTICA,ME/DO,5,UFPR,ACADEMICO,S,4,30,1.7,13.0,52,4.0,30.3,121,8.77,9.02,1052.13,1082.48,501.25,509.55,550.88,572.93,67,46,13,26,14,5,2,2,8,69,37,123,98,31,14,10,55,65,6.11,6.28,733.63,753.88,328.38,332.78,405.25,421.10,41,31,8,10,7,3,2,2,5,49,26,99,82,21,13,7,41,58
