,idProd
0,29824826
1,31825801
2,31825791
3,31825786
4,31825778
5,31825733
6,31825725
7,31825625
8,31825598
9,31825565
10,31825556
11,31825553
12,31825541
13,31825524
14,28882154
15,28882133
16,28882127
17,28882098
18,28882063
19,28882061
20,28882053
21,28882011
22,28882001
23,28881987
24,28882227
25,28881952
26,28885582
27,28885576
28,28885572
29,28885567
30,28885563
31,28885631
32,28885302
33,28885296
34,28885220
35,28885170
36,28885460
37,28885459
38,28885452
39,28885447
40,28885411
41,28885408
42,28896799
43,28896732
44,28896889
45,28896891
46,28896897
47,28896731
48,28896866
49,28896770
50,28896797
51,28896741
52,28896847
53,28896833
54,28896814
55,28896822
56,28896806
57,28896817
58,28896754
59,28896596
60,28896581
61,28896580
62,28896672
63,28896638
64,28896622
65,32194656
66,32194653
67,32194619
68,32194545
69,32194757
70,32194756
71,32194789
72,32194787
73,32194975
74,32194967
75,32194806
76,32194804
77,32194764
78,32194901
79,32194829
80,32194828
81,32194827
82,23224218
83,25116732
84,25116748
85,22375095
86,22375103
87,22375137
88,22375124
89,22375121
90,24766441
91,24766431
92,24766397
93,24766353
94,24766464
95,25909167
96,25909135
97,25909105
98,25909081
99,32585751
100,32585741
101,32585740
102,32585872
103,32585870
104,32585869
105,29799226
106,29799230
107,29799321
108,29799304
109,29799294
110,29799273
111,29799270
112,29799258
113,29799255
114,29799254
115,29799346
116,27431394
117,27432913
118,27432925
119,27432951
120,28180085
121,28180083
122,28180081
123,28180080
124,28180079
125,28180901
126,28180895
127,28180943
128,28181040
129,28181036
130,28180893
131,28180890
132,28180887
133,28181006
134,28180990
135,28180989
136,22698510
137,22698556
138,22698648
139,22698538
140,22698521
141,23970037
142,23970033
143,23970029
144,23970028
145,23970027
146,23970026
147,23970024
148,23970009
149,23970007
150,23970061
151,23970063
152,23970067
153,23970057
154,26295552
155,26295547
156,26295535
157,26295521
158,26295519
159,26295505
160,26295497
161,26295485
162,33145220
163,29172552
164,29172549
165,29172531
166,29172500
167,29172478
168,29178250
169,29178087
170,29178249
171,29178153
172,29178227
173,29210885
174,29211993
175,31474160
176,31474508
177,31474161
178,31474151
179,31474618
180,31474647
181,31474534
182,31474663
183,31474633
184,31474546
185,29104868
186,29104890
187,29104885
188,29107028
189,29107013
190,29106935
191,29106914
192,29107300
193,29107305
194,29107256
195,32379365
196,32379362
197,32382807
198,32382622
199,32382867
200,32382618
201,32382617
202,32382929
203,32382877
204,32382931
205,32382686
206,32382674
207,32382876
208,30598613
209,30598612
210,33174612
211,33174620
212,22832865
213,22832759
214,24610613
215,24610570
216,24610568
217,24610542
218,24610536
219,30334270
220,30335042
221,30335330
222,30335030
223,30335066
224,30335140
225,30335121
226,30335300
227,30335259
228,30335175
229,30335068
230,30335329
231,30335161
232,30335113
233,30335297
234,30335099
235,32065530
236,32065648
237,32065619
238,32065781
239,23915157
240,25328185
241,25328176
242,25328142
243,25328048
244,31158741
245,31158686
246,31158654
247,31158646
248,22374625
249,22374641
250,30309949
251,30310014
252,30309997
253,30371737
254,30371736
255,30371743
256,30371745
257,30372035
258,30371974
259,30372036
260,30372031
261,30371983
262,30372044
263,30371980
264,30372046
265,30379097
266,30379001
267,32729718
268,32729684
269,30418759
270,30418636
271,30418552
272,30418930
273,30418696
274,30418875
275,30418872
276,30418690
277,30418682
278,30418849
279,30418563
280,30418824
281,30418668
282,30418561
283,30418800
284,30418794
285,30418516
286,30572183
287,30572060
288,30572056
289,30572158
290,30571994
291,30571990
292,30572138
293,30572035
294,30572127
295,30572125
296,30572032
297,30571986
298,30572106
299,30572264
300,30572253
301,30572096
302,30572016
303,30572237
304,30572087
305,30572225
306,30572213
307,30572209
308,30572227
309,30572206
310,30572203
311,30572232
312,30557537
313,30557598
314,30557762
315,30557706
316,30557597
317,30557545
318,30557704
319,30557845
320,30557695
321,30557601
322,30557632
323,30557606
324,30557690
325,30557692
326,30557841
327,30557830
328,30557829
329,30557753
330,30557646
331,30557911
332,30557644
333,30557835
334,30557587
335,30557693
336,30557588
337,32610592
338,32610637
339,32610619
340,27074243
341,27074247
342,27074282
343,27074160
344,27074268
345,27074287
346,27074165
347,27074264
348,27074239
349,27074259
350,27074256
351,27074162
352,27074242
353,27074260
354,27074161
355,27074164
356,27074284
357,27074158
358,27074228
359,33081163
360,33081144
361,33081139
362,33081202
363,33081198
364,33081177
365,30856489
366,30856469
367,30856183
368,30856182
369,30856472
370,30856508
371,30856510
372,30856511
373,30856641
374,30856646
375,30856628
376,30856642
377,30856587
378,30856584
379,30856649
380,30859080
381,30859272
382,30859076
383,30859133
384,30859266
385,30859131
386,30859246
387,30859087
388,30861006
389,30860991
390,30861133
391,30861115
392,30860840
393,30860814
394,30860729
395,30860707
396,30860686
397,30860684
398,30860659
399,30860651
400,31525905
401,31526190
402,31526247
403,31526244
404,31526358
405,31526242
406,31526233
407,31526334
408,31526333
409,31526331
410,31526302
411,31526299
412,31526213
413,31526211
414,31526205
415,31526201
416,31526260
417,30725490
418,30725465
419,30725487
420,30725438
421,30725434
422,30724906
423,30724905
424,30725544
425,30725539
426,30725497
427,30725495
428,30725575
429,30725793
430,30725814
431,30725768
432,30725663
433,30725783
434,30725724
435,30725588
436,30725805
437,30725622
438,30725787
