,Ano Base,Cod PPG,Nome PPG,Área Básica,IES Principal Sigla,IES Principal Nome,IES da Rede Sigla,Status Jurídico,UF,Região,PPG Ano Início,Modalidade,Mudança de modalidade no quadriênio?,Nota,Nível,Ano Início Nível,Teve turmas de PCI/MINTER/DINTER/Fora de sede quadriênio?,Sofreu migração no quadriênio?,Código do(s) pppg(s) de origem,Nome do(s) pppg(s) de origem,Código do(s) pppg(s) de destino,Nome do(s) pppg(s) de destino,Data de referência,Nº Permanentes (DP),Nº Colaboradores,Nº Visitantes,Total Docentes (T),"DP/Total (DP/T)
%",Nº Áreas de concentração,Nº Linhas de pesquisa,Nº Turmas de Mestrado (apenas),Nº Turmas de Doutorado (apenas),N° de turmas mistas (M e D),Total de turmas sob responsabilidade de DP,Total de turmas ,Nº projetos em andamento com financiamento,Nº projetos em andamento com participação discente,Nº projetos em andamento,Nº projetos concluídos,Total projetos,Nº Dissertações,Nº  Teses,Nº Dissertações de bolsistas,Nº  Teses de bolsistas,Total de bolsistas sanduíche,Premiação,Categoria de premiação,Autor,URL do PPG,ID_ADD_FOTO_PROGRAMA_IES_PRINC,ID_ADD_FOTO_PROGRAMA,Tipo de Clientela
0,2019,11001011072P2,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,UFAC,UNIVERSIDADE FEDERAL DO ACRE,,FEDERAL,AC,NORTE,2018,ACADÊMICO,NÃO,A,MESTRADO,2018,,NÃO,,,,,,13,0,0,13,100.0,1,2,11,0,0,11,11,0,3,4,0,4,0,0,0,0,0,,,,http://www.ufac.br,173411,106959,AVALIAÇÃO
1,2020,11001011072P2,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,UFAC,UNIVERSIDADE FEDERAL DO ACRE,,FEDERAL,AC,NORTE,2018,ACADÊMICO,NÃO,A,MESTRADO,2018,,NÃO,,,,,,13,0,0,13,100.0,1,2,7,0,0,7,7,0,4,5,1,6,0,0,0,0,0,,,,http://www.ufac.br,197114,129568,AVALIAÇÃO
2,2017,12001015012P2,INFORMÁTICA,CIÊNCIA DA COMPUTAÇÃO,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,,FEDERAL,AM,NORTE,2001,ACADÊMICO,NÃO,5,MESTRADO/DOUTORADO,2001/2008,,NÃO,,,,,,24,0,0,24,100.0,1,6,4,8,21,33,33,12,0,13,11,24,25,12,9,5,0,,,,http://www.ppgi.icomp.ufam.edu.br,172714,106397,AVALIAÇÃO
3,2018,12001015012P2,INFORMÁTICA,CIÊNCIA DA COMPUTAÇÃO,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,,FEDERAL,AM,NORTE,2001,ACADÊMICO,NÃO,5,MESTRADO/DOUTORADO,2001/2008,,NÃO,,,,,,25,1,0,26,96.2,1,6,4,8,22,34,34,21,6,22,4,26,26,8,3,0,0,,,,http://www.ppgi.icomp.ufam.edu.br,172741,106414,AVALIAÇÃO
4,2019,12001015012P2,INFORMÁTICA,CIÊNCIA DA COMPUTAÇÃO,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,,FEDERAL,AM,NORTE,2001,ACADÊMICO,NÃO,5,MESTRADO/DOUTORADO,2001/2008,,NÃO,,,,,,26,2,0,28,92.9,1,6,4,8,21,33,33,26,5,28,2,30,27,12,12,2,0,,,,http://www.ppgi.icomp.ufam.edu.br,172742,106415,AVALIAÇÃO
5,2020,12001015012P2,INFORMÁTICA,CIÊNCIA DA COMPUTAÇÃO,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,,FEDERAL,AM,NORTE,2001,ACADÊMICO,NÃO,5,MESTRADO/DOUTORADO,2001/2008,,NÃO,,,,,,23,5,0,28,82.1,1,6,2,4,19,25,25,18,3,20,11,31,13,12,3,0,1,,,,http://www.ppgi.icomp.ufam.edu.br,199536,131738,AVALIAÇÃO
6,2017,15001016047P9,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,,FEDERAL,PA,NORTE,2005,ACADÊMICO,NÃO,4,MESTRADO/DOUTORADO,2005/2015,,NÃO,,,,,,18,2,0,20,90.0,2,7,0,0,19,18,19,43,25,66,20,86,14,1,7,1,0,,,,http://www.ppgcc.propesp.ufpa.br,169316,103166,AVALIAÇÃO
7,2018,15001016047P9,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,,FEDERAL,PA,NORTE,2005,ACADÊMICO,NÃO,4,MESTRADO/DOUTORADO,2005/2015,,NÃO,,,,,,20,3,0,23,87.0,2,5,0,0,25,25,25,42,23,70,13,83,26,0,11,0,0,,,,http://www.ppgcc.propesp.ufpa.br,169341,103185,AVALIAÇÃO
8,2019,15001016047P9,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,,FEDERAL,PA,NORTE,2005,ACADÊMICO,NÃO,4,MESTRADO/DOUTORADO,2005/2015,,NÃO,,,,,,20,3,0,23,87.0,2,5,0,0,20,20,20,38,19,66,14,80,19,5,9,3,0,,,,http://www.ppgcc.propesp.ufpa.br,169388,103205,AVALIAÇÃO
9,2020,15001016047P9,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,,FEDERAL,PA,NORTE,2005,ACADÊMICO,NÃO,4,MESTRADO/DOUTORADO,2005/2015,,NÃO,,,,,,20,2,0,22,90.9,2,6,0,0,12,12,12,39,19,66,12,78,14,7,8,1,0,,,,http://www.ppgcc.propesp.ufpa.br,201113,133092,AVALIAÇÃO
10,2017,15001016092P4,COMPUTAÇÃO APLICADA,CIÊNCIA DA COMPUTAÇÃO,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,,FEDERAL,PA,NORTE,2016,PROFISSIONAL,NÃO,3,MESTRADO PROFISSIONAL,2016,,NÃO,,,,,,9,1,0,10,90.0,1,1,19,0,0,15,19,0,27,28,0,28,0,0,0,0,0,,,,http://ppca.propesp.ufpa.br,132781,69224,AVALIAÇÃO
11,2018,15001016092P4,COMPUTAÇÃO APLICADA,CIÊNCIA DA COMPUTAÇÃO,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,,FEDERAL,PA,NORTE,2016,PROFISSIONAL,NÃO,3,MESTRADO PROFISSIONAL,2016,,NÃO,,,,,,11,2,0,13,84.6,1,1,14,0,0,12,14,0,27,29,3,33,3,0,0,0,0,,,,http://ppca.propesp.ufpa.br,141292,76575,AVALIAÇÃO
